"category_id";"name"
"1";"Root Catalog"
"2";"Default"
"6";"Bestsellers"
"7";"Consumer Electronics"
"8";"Personal Audio & Video"
"9";"MP3/MP4 Media Players"
"10";"Bluetooth Speakers"
"11";"Boom Boxes"
"12";"Clock Radios"
"13";"Digital Audio Recorders"
"14";"iPod/iPad Accessories"
"15";"Microphones"
"16";"Portable Audio"
"17";"Portable DVD"
"18";"Headphones"
"19";"Bluetooth/Wireless"
"20";"Ear Buds"
"21";"Ear Clips"
"22";"Full Size"
"23";"Lightweight"
"24";"Noise Canceling"
"25";"Professional/DJ"
"26";"Mobile Electronics"
"27";"Appliances"
"28";"Professional A/V"
"29";"Extended Warranties"
"30";"Home Audio & Theater"
"31";"CD Players & Recorders"
"32";"Home Theater"
"33";"In-wall/In-ceiling Speakers"
"34";"Shelf Systems"
"35";"Soundbars"
"36";"Turntables"
"37";"Home Video"
"38";"Blu-Ray Players"
"39";"DVD Players"
"40";"DVD Recorders"
"41";"Recording Media"
"42";"Camera, Photo & Video"
"43";"Accessories"
"44";"Batteries & Chargers"
"45";"Binoculars"
"46";"Camcorders"
"47";"Cases & Stands"
"48";"Digital Cameras"
"49";"Digital Picture Frames"
"50";"Lenses"
"51";"Photo Printers"
"52";"SD Cards"
"53";"SLR Cameras"
"54";"Television"
"55";"LED"
"56";"3D Glasses"
"57";"Accessories"
"58";"Antennas"
"59";"Combo"
"60";"LCD"
"61";"Plasma"
"62";"Projectors"
"63";"Remotes"
"64";"Under-Counter"
"65";"TV Stands & Mounts"
"66";"A/V Racks"
"67";"Accessories"
"68";"Adapter Plates"
"69";"Cabinet/Desk"
"70";"Carts"
"71";"Ceiling"
"72";"Flat"
"73";"Floor Stands"
"74";"Full-motion"
"75";"Furniture Stands"
"76";"In-wall"
"77";"Motorized"
"78";"Projector"
"79";"Screen Clean"
"80";"Slim"
"81";"Tilting"
"82";"Wall Furniture"
"83";"Power & Cables"
"84";"Audio Cables"
"85";"Cable Management"
"86";"HDMI Cables"
"87";"Power"
"88";"Starter Kits"
"89";"Video Cables"
"90";"Security & Observation"
"91";"Cameras"
"92";"IP Network Cameras"
"93";"Specialty Cameras"
"94";"System Bundles"
"95";"Telecom & Office Equipment"
"96";"Accessories"
"97";"Bluetooth Headsets"
"98";"Corded Phones"
"99";"Cordless DECT Phones"
"100";"Cordless Phones"
"101";"Fax Machines"
"102";"Laser Printers"
"103";"Personal Computers"
"104";"Tablets"
"105";"Tablet Acessories"
"106";"Mobile Audio"
"107";"Car Security & Radar"
"108";"Mobile Video"
"109";"GPS & Navigation"
"111";"Accessories"
"112";"Amplifiers"
"113";"CD Changers"
"114";"Digital Satellite Radio"
"115";"Equalizers and Crossovers"
"116";"Headunits"
"117";"Marine Speakers"
"118";"Speakers"
"119";"Sub Woofers"
"120";"BlueTooth"
"121";"Rear Security Cameras"
"122";"Accessories"
"123";"Consoles"
"124";"Mobile Television"
"125";"VCP/DVD"
"126";"Accessories"
"127";"Cables"
"128";"Cases"
"129";"Chart Plotters"
"130";"Fishfinder GPS"
"131";"Fitness GPS"
"132";"Handheld GPS"
"133";"In-dash GPS"
"134";"Maps & Software"
"135";"Mounts"
"136";"Vehicle GPS"
"137";"Refrigeration"
"138";"Accessories"
"139";"Counter Depth SxS"
"140";"French-Door"
"141";"Side-by-Side"
"142";"Single-Door"
"143";"Specialty"
"144";"Top-Mount"
"145";"Wine Coolers"
"146";"Freezers"
"147";"Accessories"
"148";"Chest"
"149";"Frost-Free Upright"
"150";"Manual-Defrost Upright"
"151";"Ranges"
"152";"20'' Gas"
"153";"20'' Electric"
"154";"24'' Gas"
"155";"24'' Electric"
"156";"30'' Gas"
"157";"30'' Electric"
"158";"36''+ Gas"
"159";"36''+ Electric"
"160";"Dual Fuel Ranges"
"161";"Induction"
"162";"Range Accessories"
"163";"Built-in Cooking"
"164";"Drop-In Ranges"
"165";"Dual Fuel Slide-in"
"166";"Electric Cooktops"
"167";"Electric Slide-in"
"168";"Electric Wall Ovens"
"169";"Gas Cooktops"
"170";"Gas Slide-In"
"171";"Gas Wall Ovens"
"172";"Induction Cooktops"
"173";"Induction Slide-in"
"174";"Warming Drawers"
"175";"Range Hoods"
"176";"Accessories"
"177";"Basic"
"178";"Displays"
"179";"Mid-tier"
"180";"Professional"
"181";"Laundry"
"182";"Dishwashers"
"183";"Disposal Units"
"184";"Microwaves"
"185";"Small Appliances"
"186";"Floor Care"
"187";"Home Comfort"
"188";"Power Tools"
"189";"Water Heaters"
"190";"Accessories"
"191";"Electric Dryers"
"192";"Front-Load Washers"
"193";"Gas Dryers"
"194";"Portable Washers"
"195";"Top-Load Washers"
"196";"Portable"
"197";"18'' Standard"
"198";"24'' Standard"
"199";"Garbage Disposals"
"200";"Trash Compactors"
"201";"Bottom Control OTR"
"202";"Built-in Microwaves"
"203";"Convection Countertop"
"204";"Convection OTR"
"205";"Large Countertop"
"206";"Medium Countertop"
"207";"Microwave Accessories"
"208";"Microwave Drawers"
"209";"Small Countertop"
"210";"Steam Ovens"
"211";"Bread Makers"
"212";"Irons"
"213";"Electric Thermo Pots"
"214";"Meat Grinders"
"215";"Rice Cookers"
"216";"Upright Vacuums"
"217";"Canister Vacuums"
"218";"Parts & Accessories"
"219";"Portable"
"220";"Dehumidifiers"
"221";"Humidifiers"
"222";"Heaters"
"223";"Fans"
"224";"Winches"
"225";"Electric Water Heaters"
"226";"Standard OTR"
"227";"Carpet & Hard Floor Cleaning"
"228";"Specialty Vacuums"
"229";"Air Purification"
"230";"Kitchen Electrics"
"231";"Personal Care"
"232";"Pet Care"
"233";"Active Living"
"234";"As Seen On TV"
"235";"25"
"236";"cigs"
"237";"Air Purifiers"
"238";"Rocky Mountain Air"
"239";"AirFree Air Purifiers"
"240";"Austin Air Purifiers"
"241";"Surround Air Purifiers"
