"product_id";"short_descr"
"100";"The Coby MP315-2G USB Stick Micro MP3 Player with LCD Display and FM Radio stores and plays both MP3 and WMA files. Big sound, micro size! It weighs close to nothing and fits comfortably in your shirt pocket. With up to 2 GB of storage space, you'll never be without a background track to groove to. There's also a built-in FM radio for more songs and talk radio.<BR><BR><UL><LI>2GB integrated flash memory<LI>High-contrast LCD display with backlight<LI>Plays MP3 and WMA digital music files<LI>Integrated FM radio<LI>ID3 tag support for song information display<LI>Mobile data storage function<LI>One AAA battery provides 8 hours of play time<LI>USB 2.0 Hi-speed for fast file transfers<LI>Convenient keychain USB adapter included<LI>3.5mm headphone jack (stereo earphones included)<LI>FCC. CE certifications</LI></UL><BR>Retail box dimensions: 8'' H x 1.75'' D x 5.5'' W Retail box weight: 0.5"
"101";"The Coby MP315-4G USB Stick Micro MP3 Player with LCD Display and FM Radio stores and plays both MP3 and WMA files. Big sound, micro size! It weighs close to nothing and fits comfortably in your shirt pocket. With up to 4 GB of storage space, you'll never be without a background track to groove to. There's also a built-in FM radio for more songs and talk radio.<BR><BR><UL><LI>4GB integrated flash memory<LI>High-contrast LCD display with backlight<LI>Plays MP3 and WMA digital music files<LI>Integrated FM radio<LI>ID3 tag support for song information display<LI>Mobile data storage function<LI>One AAA battery provides 8 hours of play time<LI>USB 2.0 Hi-speed for fast file transfers<LI>Convenient USB adapter included<LI>3.5mm headphone jack (stereo earphones included)<LI>FCC. CE certifications</LI></UL><BR>Retail blister dimensions: 8'' H x 1.75'' D x 5.5'' W Retail blister weight: 0.5 lb."
"102";"The Cygnett CY0039CISKI SecondSkin Soft Silicon Case for iPad, in Clear, provides protection that fits like a second skin. This talcy soft, slim-fitting case is the staple choice for iPad protection. Specially molded to fit your iPad like a glove, the Second Skin is flexible yet tough. Equipped with base supports, you will be in control on any surface while you take care of business.<BR><BR><UL><LI>Clear soft silicon case for iPad<LI>Protective case for added grip<LI>Designed with base support ridges for stability while using on a flat surface<LI>Slim-fit case provides maximum protection and stability<LI>Complete access to multi-touch screen, ports, jacks and iPad controls</LI></UL><BR>"
"103";"The Cygnett CY0040CISKI SecondSkin Soft Silicon Case for iPad, in Black, provides protection that fits like a second skin. This talcy soft, slim-fitting case is the staple choice for iPad protection. Specially molded to fit your iPad like a glove, the Second Skin is flexible yet tough. Equipped with base supports, you will be in control on any surface while you take care of business.<BR><BR><UL><LI>Black soft silicon case for iPad<LI>Protective case for added grip<LI>Designed with base support ridges for stability while using on a flat surface<LI>Slim-fit case provides maximum protection and stability<LI>Complete access to multi-touch screen, ports, jacks and iPad controls</LI></UL><BR>"
"104";"The Cygnett CY0043CIAGD Agenda Hard-Wearing Sleeve for iPad gives reinforced protection with effortless style. Fast-paced and on the go, your iPad needs protection while you are in transit. Whatever is on your agenda, your iPad will be covered while the embossed design keeps you and your iPad stylishly streamlined. The slim-fit slips easily into your bag, briefcase or backpack.<BR><BR><UL><LI>Agenda hard-wearing sleeve for iPad<LI>Padded interior<LI>iPad will slip in and out with ease<LI>Reinforced construction provides durable protection<LI>Design-driven embossed exterior<LI>Soft neoprene lining guards against scratches and knocks<LI>Easy to insert and remove your iPad from sleeve<LI>Slim-fit slips easily into bag, briefcase or backpack</LI></UL><BR>"
"105";"The Cygnett CY0069CPPRI Prism Etched Flexi-Case for iPhone 4, in Orb Blue, is a bright and bold, form-fitting flexi-case that protects your iPhone from scrapes and scratches without compromising on style. The Prism is flexible, impact resist and easy to clean. The case is made from a highly durable TPU material that resists abrasions, impacts and tears.<BR><BR><UL><LI>Orb Blue flexi-case for iPhone 4<LI>Made from highly durable TPU material<LI>Resists abrasions, impacts and tears<LI>Form fitting design encapsulates iPhone<LI>Access to all ports, controls and connectors<LI>Includes screen protector and microfiber cleaning cloth</LI></UL><BR>"
"106";"The Cygnett CY0070CPPRI Prism Etched Flexi-Case for iPhone 4, in Orb Gray, is a bright and bold, form-fitting flexi-case that protects your iPhone from scrapes and scratches without compromising on style. The Prism is flexible, impact resist and easy to clean. The case is made from a highly durable TPU material that resists abrasions, impacts and tears.<BR><BR><UL><LI>Orb Gray flexi-case for iPhone 4<LI>Made from highly durable TPU material<LI>Resists abrasions, impacts and tears<LI>Form fitting design encapsulates iPhone<LI>Access to all ports, controls and connectors<LI>Includes screen protector and microfiber cleaning cloth</LI></UL><BR>"
"107";"The Cygnett CY0071CPPRI Prism Etched Flexi-Case for iPhone 4, in Paradox Red, is a bright and bold, form-fitting flexi-case that protects your iPhone from scrapes and scratches without compromising on style. The Prism is flexible, impact resist and easy to clean. The case is made from a highly durable TPU material that resists abrasions, impacts and tears.<BR><BR><UL><LI>Paradox Red flexi-case for iPhone 4<LI>Made from highly durable TPU material<LI>Resists abrasions, impacts and tears<LI>Form fitting design encapsulates iPhone<LI>Access to all ports, controls and connectors<LI>Includes screen protector and microfiber cleaning cloth</LI></UL><BR>"
"108";"The Cygnett CY0088CPLAV Lavish Ultra-Soft Leather Case for iPhone 4, in Black, is effortless in style and function. This premium leather case is crafted from high-grade, ultra-soft lambskin that is exquisite to touch. Add an element of sophistication and luxury while protecting your iPhone. The case allows complete access to touchscreen, buttons, camera, charging and syncing.<BR><BR><UL><LI>Black Lavish ultra-soft leatehr case for iPhone 4<LI>Exquisitely soft to touch<LI>Made with the finest grade lambskin leather<LI>Solid craftsmanship that is made to withstand everyday wear and tear<LI>Flip-down design<LI>Protects and provides both style and function<LI>Allows complete access to touchscreen, buttons, camera, charging and syncing<LI>Includes screen protector<LI>Microfiber cleaning cloth<LI>Cloth guards against scratches, smudges and dust</LI></UL><BR>"
"109";"The Cygnett CY0089CPLAV Lavish Ultra-Soft Leather Case for iPhone 4, in Brown, is effortless in style and function. This premium leather case is crafted from high-grade, ultra-soft lambskin that is exquisite to touch. Add an element of sophistication and luxury while protecting your iPhone. The case allows complete access to touchscreen, buttons, camera, charging and syncing.<BR><BR><UL><LI>Brown Lavish ultra-soft leatehr case for iPhone 4<LI>Exquisitely soft to touch<LI>Made with the finest grade lambskin leather<LI>Solid craftsmanship that is made to withstand everyday wear and tear<LI>Flip-down design<LI>Protects and provides both style and function<LI>Allows complete access to touchscreen, buttons, camera, charging and syncing<LI>Includes screen protector<LI>Microfiber cleaning cloth<LI>Cloth guards against scratches, smudges and dust</LI></UL><BR>"
