"store";"websites";"attribute_set";"type";"categories";"sku";"has_options";"name"
"admin";"base";"Default";"simple";"Consumer Electronics";"MP315-2G";"0";"Coby 2GB USB-Stick Audio MP3 Playr w/7-Color Backlight LCD Display & FM Radio"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video";"MP315-2G";"0";"Coby 2GB USB-Stick Audio MP3 Playr w/7-Color Backlight LCD Display & FM Radio"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video/MP3-or-MP4 Media Players";"MP315-2G";"0";"Coby 2GB USB-Stick Audio MP3 Playr w/7-Color Backlight LCD Display & FM Radio"
"admin";"base";"Default";"simple";"Consumer Electronics";"MP315-4G";"0";"Coby 4GB USB-Stick Audio MP3 Playr w/7-Color Backlight LCD Display & FM Radio"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video";"MP315-4G";"0";"Coby 4GB USB-Stick Audio MP3 Playr w/7-Color Backlight LCD Display & FM Radio"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video/MP3-or-MP4 Media Players";"MP315-4G";"0";"Coby 4GB USB-Stick Audio MP3 Playr w/7-Color Backlight LCD Display & FM Radio"
"admin";"base";"Default";"simple";"Consumer Electronics";"CY0039CISKI";"0";"Cygnett Second Skin clear siicon case for iPad"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video";"CY0039CISKI";"0";"Cygnett Second Skin clear siicon case for iPad"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video/iPod-or-iPad Accessories";"CY0039CISKI";"0";"Cygnett Second Skin clear siicon case for iPad"
"admin";"base";"Default";"simple";"Consumer Electronics";"CY0040CISKI";"0";"Cygnett Second Skin clear siicon case for iPad"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video";"CY0040CISKI";"0";"Cygnett Second Skin clear siicon case for iPad"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video/iPod-or-iPad Accessories";"CY0040CISKI";"0";"Cygnett Second Skin clear siicon case for iPad"
"admin";"base";"Default";"simple";"Consumer Electronics";"CY0043CIAGD";"0";"Cygnett Agenda leather slip case"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video";"CY0043CIAGD";"0";"Cygnett Agenda leather slip case"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video/iPod-or-iPad Accessories";"CY0043CIAGD";"0";"Cygnett Agenda leather slip case"
"admin";"base";"Default";"simple";"Consumer Electronics";"CY0069CPPRI";"0";"Cygnett Prism Orb pattern TPU case for iPhone 4"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video";"CY0069CPPRI";"0";"Cygnett Prism Orb pattern TPU case for iPhone 4"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video/iPod-or-iPad Accessories";"CY0069CPPRI";"0";"Cygnett Prism Orb pattern TPU case for iPhone 4"
"admin";"base";"Default";"simple";"Consumer Electronics";"CY0070CPPRI";"0";"Cygnett Prism Orb pattern TPU case for iPhone 4"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video";"CY0070CPPRI";"0";"Cygnett Prism Orb pattern TPU case for iPhone 4"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video/iPod-or-iPad Accessories";"CY0070CPPRI";"0";"Cygnett Prism Orb pattern TPU case for iPhone 4"
"admin";"base";"Default";"simple";"Consumer Electronics";"CY0071CPPRI";"0";"Cygnett Prism Paradox pattern TPU case for iPhone 4"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video";"CY0071CPPRI";"0";"Cygnett Prism Paradox pattern TPU case for iPhone 4"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video/iPod-or-iPad Accessories";"CY0071CPPRI";"0";"Cygnett Prism Paradox pattern TPU case for iPhone 4"
"admin";"base";"Default";"simple";"Consumer Electronics";"CY0088CPLAV";"0";"Cygnett Lavish ultra-soft leather flip case for iPhone 4"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video";"CY0088CPLAV";"0";"Cygnett Lavish ultra-soft leather flip case for iPhone 4"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video/iPod-or-iPad Accessories";"CY0088CPLAV";"0";"Cygnett Lavish ultra-soft leather flip case for iPhone 4"
"admin";"base";"Default";"simple";"Consumer Electronics";"CY0089CPLAV";"0";"Cygnett Lavish ultra-soft leather flip case for iPhone 4"
"admin";"base";"Default";"simple";"Consumer Electronics/Personal Audio & Video";"CY0089CPLAV";"0";"Cygnett Lavish ultra-soft leather flip case for iPhone 4"
