"store";"websites";"attribute_set";"type";"categories";"sku";"has_options";"name";"url_key";"country_of_manufacture";"msrp_enabled";"msrp_display_actual_price_type";"meta_title";"meta_description";"image";"small_image";"thumbnail";"custom_design";"page_layout";"options_container";"gift_message_available";"image_label";"small_image_label";"thumbnail_label";"url_path";"status";"visibility";"brand";"tax_class_id";"is_recurring";"weight";"price";"special_price";"msrp";"description";"short_description";"specification";"meta_keyword";"custom_layout_update";"news_from_date";"news_to_date";"special_from_date";"special_to_date";"custom_design_from";"custom_design_to";"qty";"min_qty";"use_config_min_qty";"is_qty_decimal";"backorders";"use_config_backorders";"min_sale_qty";"use_config_min_sale_qty";"max_sale_qty";"use_config_max_sale_qty";"is_in_stock";"low_stock_date";"notify_stock_qty";"use_config_notify_stock_qty";"manage_stock";"use_config_manage_stock";"stock_status_changed_auto";"use_config_qty_increments";"qty_increments";"use_config_enable_qty_inc";"enable_qty_increments";"is_decimal_divided";"stock_status_changed_automatically";"use_config_enable_qty_increments";"product_name";"store_id";"product_type_id";"product_status_changed";"product_changed_websites"
"admin";"base";"Default";"simple";"";"MP315-2G";"0";"Coby 2GB USB-Stick Audio MP3 Playr w/7-Color Backlight LCD Display & FM Radio";"MP315-2G";"";"Use config";"Use config";"";"";"/m/p/mp3152g_4.jpg";"/s/m/sm_mp3152g_4.jpg";"/t/h/th_mp3152g_4.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"mp3152g.html";"Enabled";"Catalog, Search";"Coby";"None";"No";"0.3600";"29.9900";"";"";"The Coby MP315-2G USB Stick Micro MP3 Player with LCD Display and FM Radio stores and plays both MP3 and WMA files. Big sound, micro size! It weighs close to nothing and fits comfortably in your shirt pocket. With up to 2 GB of storage space, you'll never be without a background track to groove to. There's also a built-in FM radio for more songs and talk radio.";"The Coby MP315-2G USB Stick Micro MP3 Player with LCD Display and FM Radio stores and plays both MP3 and WMA files. Big sound, micro size! It weighs close to nothing and fits comfortably in your shirt pocket. With up to 2 GB of storage space, you'll never be without a background track to groove to. There's also a built-in FM radio for more songs and talk radio.<BR><BR><UL><LI>2GB integrated flash memory<LI>High-contrast LCD display with backlight<LI>Plays MP3 and WMA digital music files<LI>Integrated FM radio<LI>ID3 tag support for song information display<LI>Mobile data storage function<LI>One AAA battery provides 8 hours of play time<LI>USB 2.0 Hi-speed for fast file transfers<LI>Convenient keychain USB adapter included<LI>3.5mm headphone jack (stereo earphones included)<LI>FCC. CE certifications</LI></UL><BR>Retail box dimensions: 8'' H x 1.75'' D x 5.5'' W Retail box weight: 0.5";"<TABLE><TBODY><TR><TD class=addInfHd colSpan=2>General Information</TD></TR><TR><TD class=addInfLb>Manufacturer</TD><TD class=addInfTxt>Coby Electronics Corporation</TD></TR><TR><TD class=addInfLb>Manufacturer Part Number</TD><TD class=addInfTxt>MP315-2G</TD></TR><TR><TD class=addInfLb>Manufacturer Website Address</TD><TD class=addInfTxt>http://www.cobyusa.com</TD></TR><TR><TD class=addInfLb>Brand Name</TD><TD class=addInfTxt>Coby</TD></TR><TR><TD class=addInfLb>Product Model</TD><TD class=addInfTxt>MP3152G</TD></TR><TR><TD class=addInfLb>Product Name</TD><TD class=addInfTxt>MP3152G 2GB Flash MP3 Player</TD></TR><TR><TD class=addInfLb>Product Type</TD><TD class=addInfTxt>Flash MP3 Player</TD></TR><TR><TD class=addInfLb>Product Functions</TD><TD class=addInfTxt>FM Tuner</TD></TR><TR><TD class=addInfHd colSpan=2>Storage</TD></TR><TR><TD class=addInfLb>Hard Drive Capacity</TD><TD class=addInfTxt>Not Applicable</TD></TR><TR><TD class=addInfLb>Flash Memory Capacity</TD><TD class=addInfTxt>2 GB</TD></TR><TR><TD class=addInfHd colSpan=2>Display &amp; Graphics</TD></TR><TR><TD class=addInfLb>Display Screen Type</TD><TD class=addInfTxt>LCD</TD></TR><TR><TD class=addInfHd colSpan=2>Memory</TD></TR><TR><TD class=addInfLb>Memory Card Include</TD><TD class=addInfTxt>Not Applicable</TD></TR><TR><TD class=addInfLb>Memory Card Support</TD><TD class=addInfTxt>Not Applicable</TD></TR><TR><TD class=addInfHd colSpan=2>Audio</TD></TR><TR><TD class=addInfLb>Audio Formats</TD><TD class=addInfTxt>MP3</TD></TR><TR><TD class=addInfLb>&nbsp;</TD><TD class=addInfTxt>WMA</TD></TR><TR><TD class=addInfLb>Maximum Number of Songs</TD><TD class=addInfTxt>500</TD></TR><TR><TD class=addInfHd colSpan=2>Interfaces/Ports</TD></TR><TR><TD class=addInfLb>Interfaces/Ports</TD><TD class=addInfTxt>1 x Headphone</TD></TR><TR><TD class=addInfLb>&nbsp;</TD><TD class=addInfTxt>1 x USB 2.0 USB</TD></TR><TR><TD class=addInfHd colSpan=2>Battery Information</TD></TR><TR><TD class=addInfLb>Battery Size Support</TD><TD class=addInfTxt>AAA</TD></TR><TR><TD class=addInfLb>Battery Run Time</TD><TD class=addInfTxt>8 Hour</TD></TR><TR><TD class=addInfHd colSpan=2>Warranty</TD></TR><TR><TD class=addInfLb>Standard Warranty</TD><TD class=addInfTxt>90 Day</TD></TR><TR><TD class=addInfHd colSpan=2>Item Details</TD></TR><TR><TD class=addInfLb align=left>Part Number</TD><TD class=addInfTxt>MP315-2G</TD></TR><TR><TD class=addInfLb align=left>Manufacturer</TD><TD class=addInfTxt>Coby</TD></TR><TR><TD class=addInfLb align=left>Category</TD><TD class=addInfTxt>Personal Audio &amp; Video</TD></TR><TR><TD class=addInfLb align=left>Mfr ID</TD><TD class=addInfTxt>COBY</TD></TR><TR><TD class=addInfLb align=left>UPS Shippable</TD><TD class=addInfTxt>Y</TD></TR><TR><TD class=addInfLb align=left>Shipping Weight</TD><TD class=addInfTxt>0.36</TD></TR><TR><TD class=addInfLb align=left>UPC Code</TD><TD class=addInfTxt>716829731543</TD></TR></TBODY></TABLE><BR>";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Coby 2GB USB-Stick Audio MP3 Playr w/7-Color Backlight LCD Display & FM Radio";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"MP315-4G";"0";"Coby 4GB USB-Stick Audio MP3 Playr w/7-Color Backlight LCD Display & FM Radio";"MP315-4G";"";"Use config";"Use config";"";"";"/m/p/mp3154g_4.jpg";"/s/m/sm_mp3154g_4.jpg";"/t/h/th_mp3154g_4.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"mp3154g.html";"Enabled";"Catalog, Search";"Coby";"None";"No";"0.3600";"39.9900";"";"";"The Coby MP315-4G USB Stick Micro MP3 Player with LCD Display and FM Radio stores and plays both MP3 and WMA files. Big sound, micro size! It weighs close to nothing and fits comfortably in your shirt pocket. With up to 4 GB of storage space, you'll never be without a background track to groove to. There's also a built-in FM radio for more songs and talk radio.";"The Coby MP315-4G USB Stick Micro MP3 Player with LCD Display and FM Radio stores and plays both MP3 and WMA files. Big sound, micro size! It weighs close to nothing and fits comfortably in your shirt pocket. With up to 4 GB of storage space, you'll never be without a background track to groove to. There's also a built-in FM radio for more songs and talk radio.<BR><BR><UL><LI>4GB integrated flash memory<LI>High-contrast LCD display with backlight<LI>Plays MP3 and WMA digital music files<LI>Integrated FM radio<LI>ID3 tag support for song information display<LI>Mobile data storage function<LI>One AAA battery provides 8 hours of play time<LI>USB 2.0 Hi-speed for fast file transfers<LI>Convenient USB adapter included<LI>3.5mm headphone jack (stereo earphones included)<LI>FCC. CE certifications</LI></UL><BR>Retail blister dimensions: 8'' H x 1.75'' D x 5.5'' W Retail blister weight: 0.5 lb.";"<TABLE><TBODY><TR><TD class=addInfHd colSpan=2>General Information</TD></TR><TR><TD class=addInfLb>Manufacturer</TD><TD class=addInfTxt>Coby Electronics Corporation</TD></TR><TR><TD class=addInfLb>Manufacturer Part Number</TD><TD class=addInfTxt>MP315-4G</TD></TR><TR><TD class=addInfLb>Manufacturer Website Address</TD><TD class=addInfTxt>http://www.cobyusa.com</TD></TR><TR><TD class=addInfLb>Brand Name</TD><TD class=addInfTxt>Coby</TD></TR><TR><TD class=addInfLb>Product Model</TD><TD class=addInfTxt>MP3154G</TD></TR><TR><TD class=addInfLb>Product Name</TD><TD class=addInfTxt>MP3154G 4GB Flash MP3 Player</TD></TR><TR><TD class=addInfLb>Product Type</TD><TD class=addInfTxt>Flash MP3 Player</TD></TR><TR><TD class=addInfLb>Product Functions</TD><TD class=addInfTxt>FM Tuner</TD></TR><TR><TD class=addInfHd colSpan=2>Storage</TD></TR><TR><TD class=addInfLb>Hard Drive Capacity</TD><TD class=addInfTxt>Not Applicable</TD></TR><TR><TD class=addInfLb>Flash Memory Capacity</TD><TD class=addInfTxt>4 GB</TD></TR><TR><TD class=addInfHd colSpan=2>Display &amp; Graphics</TD></TR><TR><TD class=addInfLb>Display Screen Type</TD><TD class=addInfTxt>LCD</TD></TR><TR><TD class=addInfHd colSpan=2>Memory</TD></TR><TR><TD class=addInfLb>Memory Card Include</TD><TD class=addInfTxt>Not Applicable</TD></TR><TR><TD class=addInfLb>Memory Card Support</TD><TD class=addInfTxt>Not Applicable</TD></TR><TR><TD class=addInfHd colSpan=2>Audio</TD></TR><TR><TD class=addInfLb>Audio Formats</TD><TD class=addInfTxt>MP3</TD></TR><TR><TD class=addInfLb>&nbsp;</TD><TD class=addInfTxt>WMA</TD></TR><TR><TD class=addInfLb>Maximum Number of Songs</TD><TD class=addInfTxt>1000</TD></TR><TR><TD class=addInfHd colSpan=2>Interfaces/Ports</TD></TR><TR><TD class=addInfLb>Interfaces/Ports</TD><TD class=addInfTxt>1 x Headphone</TD></TR><TR><TD class=addInfLb>&nbsp;</TD><TD class=addInfTxt>1 x USB 2.0 USB</TD></TR><TR><TD class=addInfHd colSpan=2>Battery Information</TD></TR><TR><TD class=addInfLb>Battery Size Support</TD><TD class=addInfTxt>AAA</TD></TR><TR><TD class=addInfLb>Battery Run Time</TD><TD class=addInfTxt>8 Hour</TD></TR><TR><TD class=addInfHd colSpan=2>Warranty</TD></TR><TR><TD class=addInfLb>Standard Warranty</TD><TD class=addInfTxt>90 Day</TD></TR><TR><TD class=addInfHd colSpan=2>Item Details</TD></TR><TR><TD class=addInfLb align=left>Part Number</TD><TD class=addInfTxt>MP315-4G</TD></TR><TR><TD class=addInfLb align=left>Manufacturer</TD><TD class=addInfTxt>Coby</TD></TR><TR><TD class=addInfLb align=left>Category</TD><TD class=addInfTxt>Personal Audio &amp; Video</TD></TR><TR><TD class=addInfLb align=left>Mfr ID</TD><TD class=addInfTxt>COBY</TD></TR><TR><TD class=addInfLb align=left>UPS Shippable</TD><TD class=addInfTxt>Y</TD></TR><TR><TD class=addInfLb align=left>Shipping Weight</TD><TD class=addInfTxt>0.36</TD></TR><TR><TD class=addInfLb align=left>UPC Code</TD><TD class=addInfTxt>716829731550</TD></TR></TBODY></TABLE><BR>";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Coby 4GB USB-Stick Audio MP3 Playr w/7-Color Backlight LCD Display & FM Radio";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"CY0039CISKI";"0";"Cygnett Second Skin clear siicon case for iPad";"CY0039CISKI";"";"Use config";"Use config";"";"";"/c/y/cy0039ciski_4.jpg";"/s/m/sm_cy0039ciski_4.jpg";"/t/h/th_cy0039ciski_4.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"cy0039ciski.html";"Enabled";"Catalog, Search";"Cygnett";"None";"No";"0.5000";"24.9900";"";"";"The Cygnett CY0039CISKI SecondSkin Soft Silicon Case for iPad, in Clear, provides protection that fits like a second skin. This talcy soft, slim-fitting case is the staple choice for iPad protection. Specially molded to fit your iPad like a glove, the Second Skin is flexible yet tough. Equipped with base supports, you will be in control on any surface while you take care of business.";"The Cygnett CY0039CISKI SecondSkin Soft Silicon Case for iPad, in Clear, provides protection that fits like a second skin. This talcy soft, slim-fitting case is the staple choice for iPad protection. Specially molded to fit your iPad like a glove, the Second Skin is flexible yet tough. Equipped with base supports, you will be in control on any surface while you take care of business.<BR><BR><UL><LI>Clear soft silicon case for iPad<LI>Protective case for added grip<LI>Designed with base support ridges for stability while using on a flat surface<LI>Slim-fit case provides maximum protection and stability<LI>Complete access to multi-touch screen, ports, jacks and iPad controls</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Cygnett Second Skin clear siicon case for iPad";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"CY0040CISKI";"0";"Cygnett Second Skin clear siicon case for iPad";"CY0040CISKI";"";"Use config";"Use config";"";"";"/c/y/cy0040ciski_9.jpg";"/s/m/sm_cy0040ciski_4.jpg";"/t/h/th_cy0040ciski_4.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"cy0040ciski.html";"Enabled";"Catalog, Search";"Cygnett";"None";"No";"0.5000";"24.9900";"";"";"The Cygnett CY0040CISKI SecondSkin Soft Silicon Case for iPad, in Black, provides protection that fits like a second skin. This talcy soft, slim-fitting case is the staple choice for iPad protection. Specially molded to fit your iPad like a glove, the Second Skin is flexible yet tough. Equipped with base supports, you will be in control on any surface while you take care of business.";"The Cygnett CY0040CISKI SecondSkin Soft Silicon Case for iPad, in Black, provides protection that fits like a second skin. This talcy soft, slim-fitting case is the staple choice for iPad protection. Specially molded to fit your iPad like a glove, the Second Skin is flexible yet tough. Equipped with base supports, you will be in control on any surface while you take care of business.<BR><BR><UL><LI>Black soft silicon case for iPad<LI>Protective case for added grip<LI>Designed with base support ridges for stability while using on a flat surface<LI>Slim-fit case provides maximum protection and stability<LI>Complete access to multi-touch screen, ports, jacks and iPad controls</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Cygnett Second Skin clear siicon case for iPad";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"CY0043CIAGD";"0";"Cygnett Agenda leather slip case";"CY0043CIAGD";"";"Use config";"Use config";"";"";"/c/y/cy0043ciagd_9.jpg";"/s/m/sm_cy0043ciagd_4.jpg";"/t/h/th_cy0043ciagd_4.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"cy0043ciagd.html";"Enabled";"Catalog, Search";"Cygnett";"None";"No";"0.5000";"29.9900";"";"";"The Cygnett CY0043CIAGD Agenda Hard-Wearing Sleeve for iPad gives reinforced protection with effortless style. Fast-paced and on the go, your iPad needs protection while you are in transit. Whatever is on your agenda, your iPad will be covered while the embossed design keeps you and your iPad stylishly streamlined. The slim-fit slips easily into your bag, briefcase or backpack.";"The Cygnett CY0043CIAGD Agenda Hard-Wearing Sleeve for iPad gives reinforced protection with effortless style. Fast-paced and on the go, your iPad needs protection while you are in transit. Whatever is on your agenda, your iPad will be covered while the embossed design keeps you and your iPad stylishly streamlined. The slim-fit slips easily into your bag, briefcase or backpack.<BR><BR><UL><LI>Agenda hard-wearing sleeve for iPad<LI>Padded interior<LI>iPad will slip in and out with ease<LI>Reinforced construction provides durable protection<LI>Design-driven embossed exterior<LI>Soft neoprene lining guards against scratches and knocks<LI>Easy to insert and remove your iPad from sleeve<LI>Slim-fit slips easily into bag, briefcase or backpack</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Cygnett Agenda leather slip case";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"CY0069CPPRI";"0";"Cygnett Prism Orb pattern TPU case for iPhone 4";"CY0069CPPRI";"";"Use config";"Use config";"";"";"/c/y/cy0069cppri_9.jpg";"/s/m/sm_cy0069cppri_4.jpg";"/t/h/th_cy0069cppri_4.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"cy0069cppri.html";"Enabled";"Catalog, Search";"Cygnett";"None";"No";"1.2000";"22.9500";"";"";"The Cygnett CY0069CPPRI Prism Etched Flexi-Case for iPhone 4, in Orb Blue, is a bright and bold, form-fitting flexi-case that protects your iPhone from scrapes and scratches without compromising on style. The Prism is flexible, impact resist and easy to clean. The case is made from a highly durable TPU material that resists abrasions, impacts and tears.";"The Cygnett CY0069CPPRI Prism Etched Flexi-Case for iPhone 4, in Orb Blue, is a bright and bold, form-fitting flexi-case that protects your iPhone from scrapes and scratches without compromising on style. The Prism is flexible, impact resist and easy to clean. The case is made from a highly durable TPU material that resists abrasions, impacts and tears.<BR><BR><UL><LI>Orb Blue flexi-case for iPhone 4<LI>Made from highly durable TPU material<LI>Resists abrasions, impacts and tears<LI>Form fitting design encapsulates iPhone<LI>Access to all ports, controls and connectors<LI>Includes screen protector and microfiber cleaning cloth</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Cygnett Prism Orb pattern TPU case for iPhone 4";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"CY0070CPPRI";"0";"Cygnett Prism Orb pattern TPU case for iPhone 4";"CY0070CPPRI";"";"Use config";"Use config";"";"";"/c/y/cy0070cppri_9.jpg";"/s/m/sm_cy0070cppri_4.jpg";"/t/h/th_cy0070cppri_4.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"cy0070cppri.html";"Enabled";"Catalog, Search";"Cygnett";"None";"No";"1.2000";"22.9500";"";"";"The Cygnett CY0070CPPRI Prism Etched Flexi-Case for iPhone 4, in Orb Gray, is a bright and bold, form-fitting flexi-case that protects your iPhone from scrapes and scratches without compromising on style. The Prism is flexible, impact resist and easy to clean. The case is made from a highly durable TPU material that resists abrasions, impacts and tears.";"The Cygnett CY0070CPPRI Prism Etched Flexi-Case for iPhone 4, in Orb Gray, is a bright and bold, form-fitting flexi-case that protects your iPhone from scrapes and scratches without compromising on style. The Prism is flexible, impact resist and easy to clean. The case is made from a highly durable TPU material that resists abrasions, impacts and tears.<BR><BR><UL><LI>Orb Gray flexi-case for iPhone 4<LI>Made from highly durable TPU material<LI>Resists abrasions, impacts and tears<LI>Form fitting design encapsulates iPhone<LI>Access to all ports, controls and connectors<LI>Includes screen protector and microfiber cleaning cloth</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Cygnett Prism Orb pattern TPU case for iPhone 4";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"CY0071CPPRI";"0";"Cygnett Prism Paradox pattern TPU case for iPhone 4";"CY0071CPPRI";"";"Use config";"Use config";"";"";"/c/y/cy0071cppri_9.jpg";"/s/m/sm_cy0071cppri_4.jpg";"/t/h/th_cy0071cppri_4.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"cy0071cppri.html";"Enabled";"Catalog, Search";"Cygnett";"None";"No";"1.2000";"22.9500";"";"";"The Cygnett CY0071CPPRI Prism Etched Flexi-Case for iPhone 4, in Paradox Red, is a bright and bold, form-fitting flexi-case that protects your iPhone from scrapes and scratches without compromising on style. The Prism is flexible, impact resist and easy to clean. The case is made from a highly durable TPU material that resists abrasions, impacts and tears.";"The Cygnett CY0071CPPRI Prism Etched Flexi-Case for iPhone 4, in Paradox Red, is a bright and bold, form-fitting flexi-case that protects your iPhone from scrapes and scratches without compromising on style. The Prism is flexible, impact resist and easy to clean. The case is made from a highly durable TPU material that resists abrasions, impacts and tears.<BR><BR><UL><LI>Paradox Red flexi-case for iPhone 4<LI>Made from highly durable TPU material<LI>Resists abrasions, impacts and tears<LI>Form fitting design encapsulates iPhone<LI>Access to all ports, controls and connectors<LI>Includes screen protector and microfiber cleaning cloth</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Cygnett Prism Paradox pattern TPU case for iPhone 4";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"CY0088CPLAV";"0";"Cygnett Lavish ultra-soft leather flip case for iPhone 4";"CY0088CPLAV";"";"Use config";"Use config";"";"";"/c/y/cy0088cplav_9.jpg";"/s/m/sm_cy0088cplav_4.jpg";"/t/h/th_cy0088cplav_4.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"cy0088cplav.html";"Enabled";"Catalog, Search";"Cygnett";"None";"No";"1.2000";"39.9900";"";"";"The Cygnett CY0088CPLAV Lavish Ultra-Soft Leather Case for iPhone 4, in Black, is effortless in style and function. This premium leather case is crafted from high-grade, ultra-soft lambskin that is exquisite to touch. Add an element of sophistication and luxury while protecting your iPhone. The case allows complete access to touchscreen, buttons, camera, charging and syncing.";"The Cygnett CY0088CPLAV Lavish Ultra-Soft Leather Case for iPhone 4, in Black, is effortless in style and function. This premium leather case is crafted from high-grade, ultra-soft lambskin that is exquisite to touch. Add an element of sophistication and luxury while protecting your iPhone. The case allows complete access to touchscreen, buttons, camera, charging and syncing.<BR><BR><UL><LI>Black Lavish ultra-soft leatehr case for iPhone 4<LI>Exquisitely soft to touch<LI>Made with the finest grade lambskin leather<LI>Solid craftsmanship that is made to withstand everyday wear and tear<LI>Flip-down design<LI>Protects and provides both style and function<LI>Allows complete access to touchscreen, buttons, camera, charging and syncing<LI>Includes screen protector<LI>Microfiber cleaning cloth<LI>Cloth guards against scratches, smudges and dust</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Cygnett Lavish ultra-soft leather flip case for iPhone 4";"0";"simple";"";""
"admin";"base";"Default";"simple";"";"CY0089CPLAV";"0";"Cygnett Lavish ultra-soft leather flip case for iPhone 4";"CY0089CPLAV";"";"Use config";"Use config";"";"";"/c/y/cy0089cplav_9.jpg";"/s/m/sm_cy0089cplav_4.jpg";"/t/h/th_cy0089cplav_4.jpg";"";"No layout updates";"Product Info Column";"No";"";"";"";"cy0089cplav.html";"Enabled";"Catalog, Search";"Cygnett";"None";"No";"1.2000";"39.9900";"";"";"The Cygnett CY0089CPLAV Lavish Ultra-Soft Leather Case for iPhone 4, in Brown, is effortless in style and function. This premium leather case is crafted from high-grade, ultra-soft lambskin that is exquisite to touch. Add an element of sophistication and luxury while protecting your iPhone. The case allows complete access to touchscreen, buttons, camera, charging and syncing.";"The Cygnett CY0089CPLAV Lavish Ultra-Soft Leather Case for iPhone 4, in Brown, is effortless in style and function. This premium leather case is crafted from high-grade, ultra-soft lambskin that is exquisite to touch. Add an element of sophistication and luxury while protecting your iPhone. The case allows complete access to touchscreen, buttons, camera, charging and syncing.<BR><BR><UL><LI>Brown Lavish ultra-soft leatehr case for iPhone 4<LI>Exquisitely soft to touch<LI>Made with the finest grade lambskin leather<LI>Solid craftsmanship that is made to withstand everyday wear and tear<LI>Flip-down design<LI>Protects and provides both style and function<LI>Allows complete access to touchscreen, buttons, camera, charging and syncing<LI>Includes screen protector<LI>Microfiber cleaning cloth<LI>Cloth guards against scratches, smudges and dust</LI></UL><BR>";"";"";"";"";"";"";"";"";"";"1000";"0";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"1";"Cygnett Lavish ultra-soft leather flip case for iPhone 4";"0";"simple";"";""
